model_name,current_time,input_len,output_len,total_req,max_cc,cc,rr,repeat_rate,TTFT avg,TTFT P90,TPOT avg,TPOT SLO_P90,E2E_time,output_throughput,single_output_throughput,E2E_throughput,single_E2E_throughput,qps,qpm,input_token_throughput,prefill_token_throughput,E2EL avg,E2EL P90
GLM-5.2-W4A8C8-0713-MTP,2026-09-24 05:11:25,204799.0,1.0,5.0,1,1.0,0,0.0,40246.5,44242.2,99999.0,99999.0,201.2411609,0.0248,0.0248,5088.4222,5088.4222,0.0248,1.488,5088.3974,5088.6173,40246.5,44242.2
GLM-5.2-W4A8C8-0713-MTP,2026-09-24 06:38:13,65536.0,2560.0,24.0,2,1.9893,0,0.0,12208.6,12065.6,23.9,24.0,884.3963785,69.4711,69.4711,1847.9316,1847.9316,0.0271,1.626,1778.4605,5368.0151,73305.7,73018.8
GLM-5.2-W4A8C8-0713-MTP,2026-09-24 08:21:30,65431.4167,2560.0,24.0,2,1.9881,0,0.0,12134.2,14008.9,23.9,24.0,885.5868618,69.3777,69.3777,1842.6132,1842.6132,0.0271,1.626,1773.2354,5392.3269,73360.9,75320.2
GLM-5.2-W4A8C8-0713-MTP,2026-09-24 08:37:54,65536.0,2560.0,24.0,2,1.989,0,0.0,12045.3,12179.0,23.9,24.0,882.1029304,69.6517,69.6517,1852.7362,1852.7362,0.0272,1.632,1783.0844,5440.7944,73105.7,72988.6
GLM-5.2-W4A8C8-0713-MTP,2026-09-24 08:53:55,65431.4167,2560.0,24.0,2,1.9878,0,0.0,12116.9,14093.4,23.9,24.1,885.8765399,69.355,69.355,1842.0106,1842.0106,0.0271,1.626,1772.6556,5400.0078,73371.1,75566.9
GLM-5.2-W4A8C8-0713-MTP,2026-09-24 08:55:37,99999.0,99999.0,99999.0,99999,99999.0,0,0.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
GLM-5.2-W4A8C8-0713-MTP,2026-09-24 09:05:32,99999.0,99999.0,99999.0,99999,99999.0,0,0.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
GLM-5.2-W4A8C8-0713-MTP,2026-09-24 09:35:03,99999.0,99999.0,99999.0,99999,99999.0,0,0.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
